recipe_id,job_id,job_name,item_id,item_name,recipe_level,apparent_recipe_level,max_durability,max_progress,max_quality,material_factor,base_exp,progress_factor,quality_factor,durability_factor,is_expert,req_craftsmanship,req_control,ing1_id,ing1_name,ing1_amount,ing1_ilvl,ing1_initial_quality,ing1_job_id,ing1_job_name,ing1_recipe_level,ing1_base_exp,ing2_id,ing2_name,ing2_amount,ing2_ilvl,ing2_initial_quality,ing2_job_id,ing2_job_name,ing2_recipe_level,ing2_base_exp,ing3_id,ing3_name,ing3_amount,ing3_ilvl,ing3_initial_quality,ing3_job_id,ing3_job_name,ing3_recipe_level,ing3_base_exp,ing4_id,ing4_name,ing4_amount,ing4_ilvl,ing4_initial_quality,ing4_job_id,ing4_job_name,ing4_recipe_level,ing4_base_exp,ing5_id,ing5_name,ing5_amount,ing5_ilvl,ing5_initial_quality,ing5_job_id,ing5_job_name,ing5_recipe_level,ing5_base_exp,ing6_id,ing6_name,ing6_amount,ing6_ilvl,ing6_initial_quality,ing6_job_id,ing6_job_name,ing6_recipe_level,ing6_base_exp
44,1,BSM,2522,Plumed Bronze Pickaxe,16,16,70,94,292,50,2241,150,75,100,False,0,0,2520,Bronze Pickaxe,1,8,73,1,BSM,8,1263,5276,Hard Leather,1,8,73,4,LTW,8,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,BSM,1607,Brass Bastard Sword,16,16,70,94,292,50,2241,150,75,100,False,0,0,1602,Bronze Bastard Sword,1,5,22,1,BSM,2,582,5063,Brass Ingot,2,14,123,3,GSM,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,BSM,2317,Chocobotail Saw,16,16,70,94,292,50,2241,150,75,100,False,0,0,2316,Amateur's Saw,1,12,109,1,BSM,12,1725,5091,Bronze Rivets,2,2,36,2,ARM,2,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,BSM,1686,Brass Knuckles,16,16,70,94,292,50,2241,150,75,100,False,0,0,1684,Bronze Knuckles,1,12,67,1,BSM,13,1875,5063,Brass Ingot,1,14,78,3,GSM,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,BSM,1754,Iron War Axe,17,17,70,66,420,50,2409,100,100,100,False,0,0,5057,Iron Ingot,2,14,154,2,ARM,13,1875,5364,Ash Lumber,1,10,55,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,BSM,2548,Iron Hatchet,17,17,70,66,420,50,2409,100,100,100,False,0,0,5057,Iron Ingot,1,14,122,2,ARM,13,1875,5364,Ash Lumber,1,10,87,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,BSM,1756,Iron Labrys,17,17,70,66,420,50,2409,100,100,100,False,0,0,5057,Iron Ingot,2,14,113,2,ARM,13,1875,5367,Elm Lumber,1,16,64,0,CRP,16,2241,5276,Hard Leather,1,8,32,4,LTW,8,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,BSM,5092,Iron Rivets,18,18,40,33,360,50,2556,50,80,58,False,0,0,5057,Iron Ingot,1,14,180,2,ARM,13,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,BSM,2344,Iron Cross-pein Hammer,18,18,70,67,450,50,2556,100,100,100,False,0,0,5057,Iron Ingot,1,14,73,2,ARM,13,1875,5325,Undyed Cotton Cloth,1,13,68,5,WVR,13,1875,5367,Elm Lumber,1,16,83,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,BSM,2395,Iron Chaser Hammer,18,18,70,67,450,50,2556,100,100,100,False,0,0,5057,Iron Ingot,1,14,71,2,ARM,13,1875,5092,Iron Rivets,1,14,71,2,ARM,14,1917,5367,Elm Lumber,1,16,81,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,BSM,2370,Iron Doming Hammer,18,18,70,67,450,50,2556,100,100,100,False,0,0,5057,Iron Ingot,1,14,105,2,ARM,13,1875,5367,Elm Lumber,1,16,120,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,BSM,2433,Iron Awl,19,19,70,68,480,50,2700,100,100,100,False,0,0,5057,Iron Ingot,1,14,84,2,ARM,13,1875,5367,Elm Lumber,1,16,96,0,CRP,16,2241,4856,Clove Oil,1,10,60,6,ALC,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,BSM,2549,Initiate's Hatchet,19,19,70,68,480,50,2700,100,100,100,False,0,0,5057,Iron Ingot,1,14,112,2,ARM,13,1875,5367,Elm Lumber,1,16,128,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,BSM,2420,Initiate's Head Knife,19,19,70,68,480,50,2700,100,100,100,False,0,0,5057,Iron Ingot,1,14,78,2,ARM,13,1875,5364,Ash Lumber,1,10,55,0,CRP,10,1437,5259,Mudstone Whetstone,1,19,106,3,GSM,20,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,BSM,2536,Initiate's Sledgehammer,19,19,70,68,480,50,2700,100,100,100,False,0,0,5057,Iron Ingot,1,14,84,2,ARM,13,1875,5367,Elm Lumber,1,16,96,0,CRP,16,2241,5504,Fish Glue,1,10,60,6,ALC,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,BSM,1609,Brass Viking Sword,20,20,70,111,382,50,2841,150,75,100,False,0,0,1603,Viking Sword,1,7,34,1,BSM,7,1176,5063,Brass Ingot,1,14,68,3,GSM,14,1917,5277,Aldgoat Leather,1,18,88,4,LTW,17,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,BSM,2523,Iron Pickaxe,20,20,70,74,510,50,2841,100,100,100,False,0,0,5057,Iron Ingot,1,14,96,2,ARM,13,1875,5325,Undyed Cotton Cloth,1,13,89,5,WVR,13,1875,5364,Ash Lumber,1,10,68,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,BSM,2318,Initiate's Saw,20,20,70,74,510,50,2841,100,100,100,False,0,0,5057,Iron Ingot,1,14,93,2,ARM,13,1875,5092,Iron Rivets,1,14,93,2,ARM,14,1917,5364,Ash Lumber,1,10,67,0,CRP,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,BSM,2331,Iron Claw Hammer,20,20,70,74,510,50,2841,100,100,100,False,0,0,5057,Iron Ingot,1,14,89,2,ARM,13,1875,5367,Elm Lumber,1,16,102,0,CRP,16,2241,5483,Jellyfish Humours,1,10,63,6,ALC,19,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,BSM,1611,Carnage Sword,20,20,70,111,382,50,2841,150,75,100,False,0,0,1607,Brass Bastard Sword,1,15,86,1,BSM,16,2241,5277,Aldgoat Leather,1,18,104,4,LTW,17,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,BSM,2510,Iron Culinary Knife,21,21,70,75,540,50,3045,100,100,100,False,0,0,5057,Iron Ingot,1,14,77,2,ARM,13,1875,5367,Elm Lumber,1,16,88,0,CRP,16,2241,5259,Mudstone Whetstone,1,19,104,3,GSM,20,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,BSM,2562,Iron Scythe,21,21,70,75,540,50,3045,100,100,100,False,0,0,5057,Iron Ingot,1,14,77,2,ARM,13,1875,5367,Elm Lumber,1,16,88,0,CRP,16,2241,5259,Mudstone Whetstone,1,19,104,3,GSM,20,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,BSM,2484,Iron Mortar,21,21,70,75,540,50,3045,100,100,100,False,0,0,5057,Iron Ingot,2,14,171,2,ARM,13,1875,5367,Elm Lumber,1,16,98,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,BSM,1758,Inferno Axe,21,21,70,112,405,50,3045,150,75,100,False,0,0,1754,Iron War Axe,1,15,70,1,BSM,17,2409,5057,Iron Ingot,1,14,65,2,ARM,13,1875,5063,Brass Ingot,1,14,65,3,GSM,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,BSM,2345,Initiate's Cross-pein Hammer,21,21,70,75,540,50,3045,100,100,100,False,0,0,5057,Iron Ingot,1,14,80,2,ARM,13,1875,5325,Undyed Cotton Cloth,1,13,74,5,WVR,13,1875,5368,Yew Lumber,1,20,114,0,CRP,21,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,BSM,2396,Initiate's Chaser Hammer,21,21,70,75,540,50,3045,100,100,100,False,0,0,5057,Iron Ingot,1,14,78,2,ARM,13,1875,5092,Iron Rivets,1,14,78,2,ARM,14,1917,5368,Yew Lumber,1,20,112,0,CRP,21,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,BSM,2371,Initiate's Doming Hammer,21,21,70,75,540,50,3045,100,100,100,False,0,0,5057,Iron Ingot,1,14,111,2,ARM,13,1875,5368,Yew Lumber,1,20,158,0,CRP,21,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,BSM,2358,Iron File,22,22,70,75,570,50,3240,100,100,100,False,0,0,5057,Iron Ingot,2,14,173,2,ARM,13,1875,5277,Aldgoat Leather,1,18,111,4,LTW,17,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,BSM,2383,Iron Pliers,22,22,70,75,570,50,3240,100,100,100,False,0,0,5057,Iron Ingot,1,14,105,2,ARM,13,1875,5092,Iron Rivets,1,14,105,2,ARM,14,1917,4856,Clove Oil,1,10,75,6,ALC,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,BSM,2524,Initiate's Pickaxe,22,22,70,75,570,50,3240,100,100,100,False,0,0,5057,Iron Ingot,1,14,92,2,ARM,13,1875,5325,Undyed Cotton Cloth,1,13,86,5,WVR,13,1875,5367,Elm Lumber,1,16,106,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,BSM,1614,Iron Shortsword,22,22,70,75,570,50,3240,100,100,100,False,0,0,5057,Iron Ingot,2,14,128,2,ARM,13,1875,5367,Elm Lumber,1,16,73,0,CRP,16,2241,5277,Aldgoat Leather,1,18,82,4,LTW,17,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,BSM,2537,Iron Sledgehammer,23,23,70,79,600,50,3429,100,100,100,False,0,0,5057,Iron Ingot,1,14,105,2,ARM,13,1875,5367,Elm Lumber,1,16,120,0,CRP,16,2241,5504,Fish Glue,1,10,75,6,ALC,10,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,BSM,2434,Initiate's Awl,23,23,70,79,600,50,3429,100,100,100,False,0,0,5057,Iron Ingot,1,14,95,2,ARM,13,1875,5368,Yew Lumber,1,20,136,0,CRP,21,3045,4856,Clove Oil,1,10,68,6,ALC,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,BSM,1694,Spiked Knuckles,23,23,70,79,600,50,3429,100,100,100,False,0,0,5072,Iron Plate,1,15,95,2,ARM,14,1917,5057,Iron Ingot,1,14,89,2,ARM,13,1875,5277,Aldgoat Leather,1,18,114,4,LTW,17,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,BSM,1764,Iron Bill,24,24,70,85,630,50,3612,100,100,100,False,0,0,5057,Iron Ingot,2,14,152,2,ARM,13,1875,5368,Yew Lumber,1,20,108,0,CRP,21,3045,4856,Clove Oil,1,10,54,6,ALC,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,BSM,2550,Brass Hatchet,24,24,70,127,472,50,3612,150,75,100,False,0,0,2549,Initiate's Hatchet,1,19,104,1,BSM,19,2700,5063,Brass Ingot,1,14,76,3,GSM,14,1917,4856,Clove Oil,1,10,54,6,ALC,14,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,BSM,2319,Bas-relief Iron Saw,24,24,70,85,630,50,3612,100,100,100,False,0,0,5057,Iron Ingot,1,14,100,2,ARM,13,1875,5092,Iron Rivets,1,14,100,2,ARM,14,1917,5367,Elm Lumber,1,16,114,0,CRP,16,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,BSM,2332,Initiate's Claw Hammer,24,24,70,85,630,50,3612,100,100,100,False,0,0,5057,Iron Ingot,1,14,81,2,ARM,13,1875,5368,Yew Lumber,1,20,116,0,CRP,21,3045,5484,Crab Oil,1,20,116,6,ALC,26,4383,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,BSM,2485,Initiate's Mortar,24,24,70,85,630,50,3612,100,100,100,False,0,0,5057,Iron Ingot,2,14,183,2,ARM,13,1875,5368,Yew Lumber,1,20,131,0,CRP,21,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,BSM,2421,Iron Round Knife,25,25,70,89,660,50,3783,100,100,100,False,0,0,5057,Iron Ingot,1,14,87,2,ARM,13,1875,5368,Yew Lumber,1,20,124,0,CRP,21,3045,5259,Mudstone Whetstone,1,19,118,3,GSM,20,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,BSM,1622,Iron Spatha,25,25,70,89,660,50,3783,100,100,100,False,0,0,5057,Iron Ingot,1,14,144,2,ARM,13,1875,5277,Aldgoat Leather,1,18,185,4,LTW,17,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,BSM,2511,Initiate's Culinary Knife,25,25,70,89,660,50,3783,100,100,100,False,0,0,5057,Iron Ingot,1,14,87,2,ARM,13,1875,5368,Yew Lumber,1,20,124,0,CRP,21,3045,5259,Mudstone Whetstone,1,19,118,3,GSM,20,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,
